,location,region,lat,lon,prediction,count,percentage
597,bethlehem-03-za,africa/johannesburg,-28.23078,28.30707,0.0,2,66.67
598,bethlehem-03-za,africa/johannesburg,-28.23078,28.30707,1.0,1,33.33
599,bethlehem-pa095-us,america/new_york,40.62593,-75.37046,0.0,56,56.0
600,bethlehem-pa095-us,america/new_york,40.62593,-75.37046,1.0,44,44.0
601,bettiah-34-in,asia/kolkata,26.8024,84.49873,0.0,2,100.0
602,bhadrakh-21-in,asia/kolkata,21.05278,86.52,0.0,4,26.67
603,bhadrakh-21-in,asia/kolkata,21.05278,86.52,1.0,11,73.33
604,bhagalpur-34-in,asia/kolkata,25.24446,86.97183,0.0,18,19.15
605,bhagalpur-34-in,asia/kolkata,25.24446,86.97183,1.0,76,80.85
606,bhairab bazar-00-bd,asia/dhaka,24.0524,90.9764,0.0,1,100.0
607,bharatpur-00-np,asia/kathmandu,27.68333,84.43333,0.0,11,84.62
608,bharatpur-00-np,asia/kathmandu,27.68333,84.43333,1.0,2,15.38
609,bharatpur-24-in,asia/kolkata,27.21731,77.49009,0.0,1,100.0
610,bharuch-09-in,asia/kolkata,21.7,72.96667,0.0,1,100.0
611,bhatinda-23-in,asia/kolkata,30.20712,74.9414,0.0,6,37.5
612,bhatinda-23-in,asia/kolkata,30.20712,74.9414,1.0,10,62.5
613,bhatkal-19-in,asia/kolkata,13.96667,74.56667,0.0,3,33.33
614,bhatkal-19-in,asia/kolkata,13.96667,74.56667,1.0,6,66.67
615,bhavnagar-09-in,asia/kolkata,21.76667,72.15,0.0,12,66.67
616,bhavnagar-09-in,asia/kolkata,21.76667,72.15,1.0,6,33.33
617,bhilwara-24-in,asia/kolkata,25.34644,74.63523,0.0,3,42.86
618,bhilwara-24-in,asia/kolkata,25.34644,74.63523,1.0,4,57.14
619,bhimbar-06-pk,asia/karachi,32.97568,74.07926,0.0,71,63.96
620,bhimbar-06-pk,asia/karachi,32.97568,74.07926,1.0,40,36.04
621,bhind-35-in,asia/kolkata,26.56672,78.78728,0.0,1,100.0
622,bhopal-35-in,asia/kolkata,23.25469,77.40289,0.0,85,54.84
623,bhopal-35-in,asia/kolkata,23.25469,77.40289,1.0,70,45.16
624,bhubaneshwar-21-in,asia/kolkata,20.23333,85.83333,0.0,518,81.7
625,bhubaneshwar-21-in,asia/kolkata,20.23333,85.83333,1.0,116,18.3
626,bhuj-09-in,asia/kolkata,23.25397,69.66928,0.0,58,96.67
627,bhuj-09-in,asia/kolkata,23.25397,69.66928,1.0,2,3.33
628,bialystok-81-pl,europe/warsaw,53.13333,23.15,0.0,97,76.38
629,bialystok-81-pl,europe/warsaw,53.13333,23.15,1.0,30,23.62
630,bidar-19-in,asia/kolkata,17.9,77.55,0.0,1,100.0
631,bielefeld-07057-de,europe/berlin,52.03333,8.53333,0.0,44,67.69
632,bielefeld-07057-de,europe/berlin,52.03333,8.53333,1.0,21,32.31
633,bien hoa-43-vn,asia/ho_chi_minh,10.95,106.81667,0.0,51,87.93
634,bien hoa-43-vn,asia/ho_chi_minh,10.95,106.81667,1.0,7,12.07
635,bihac-01-ba,europe/sarajevo,44.81694,15.87083,0.0,202,63.12
636,bihac-01-ba,europe/sarajevo,44.81694,15.87083,1.0,118,36.88
637,bihar sharif-34-in,asia/kolkata,25.19729,85.52374,0.0,4,44.44
638,bihar sharif-34-in,asia/kolkata,25.19729,85.52374,1.0,5,55.56
639,bijapur-19-in,asia/kolkata,16.82442,75.71537,0.0,1,100.0
640,bikaner-24-in,asia/kolkata,28.02094,73.30749,0.0,2,33.33
641,bikaner-24-in,asia/kolkata,28.02094,73.30749,1.0,4,66.67
642,bila tserkva-13-ua,europe/kiev,49.80939,30.11209,0.0,2,6.25
643,bila tserkva-13-ua,europe/kiev,49.80939,30.11209,1.0,30,93.75
644,bilaspur-37-in,asia/kolkata,22.08333,82.15,0.0,6,66.67
645,bilaspur-37-in,asia/kolkata,22.08333,82.15,1.0,3,33.33
646,bilbao-59bi-es,europe/madrid,43.26271,-2.92528,0.0,269,67.93
647,bilbao-59bi-es,europe/madrid,43.26271,-2.92528,1.0,127,32.07
648,billings-mt111-us,america/denver,45.78329,-108.50069,0.0,86,67.72
649,billings-mt111-us,america/denver,45.78329,-108.50069,1.0,41,32.28
650,bingol-12-tr,europe/istanbul,38.88472,40.49389,0.0,3,75.0
651,bingol-12-tr,europe/istanbul,38.88472,40.49389,1.0,1,25.0
652,bintulu-11-my,asia/kuching,3.16667,113.03333,0.0,9,69.23
653,bintulu-11-my,asia/kuching,3.16667,113.03333,1.0,4,30.77
654,biratnagar-er07-np,asia/kathmandu,26.4831,87.28337,0.0,17,42.5
655,biratnagar-er07-np,asia/kathmandu,26.4831,87.28337,1.0,23,57.5
656,birganj-00-np,asia/kathmandu,27.01043,84.87735,0.0,6,66.67
657,birganj-00-np,asia/kathmandu,27.01043,84.87735,1.0,3,33.33
658,birjand-41-ir,asia/tehran,32.86628,59.22114,0.0,1,100.0
659,birkenhead-engq1-gb,europe/london,53.39337,-3.01479,0.0,1769,77.72
660,birkenhead-engq1-gb,europe/london,53.39337,-3.01479,1.0,507,22.28
661,birmingham-al073-us,america/chicago,33.52066,-86.80249,0.0,285,75.4
662,birmingham-al073-us,america/chicago,33.52066,-86.80249,1.0,93,24.6
663,birmingham-enga7-gb,europe/london,52.48142,-1.89983,0.0,2488,86.57
664,birmingham-enga7-gb,europe/london,52.48142,-1.89983,1.0,386,13.43
665,birnin kebbi-40-ng,africa/lagos,12.45389,4.1975,0.0,5,83.33
666,birnin kebbi-40-ng,africa/lagos,12.45389,4.1975,1.0,1,16.67
667,bishkek-01-kg,asia/bishkek,42.87,74.59,0.0,41,63.08
668,bishkek-01-kg,asia/bishkek,42.87,74.59,1.0,24,36.92
669,biysk-04-ru,asia/omsk,52.53639,85.20722,0.0,2,100.0
670,bizerte-18-tn,africa/tunis,37.27442,9.87391,0.0,1,50.0
671,bizerte-18-tn,africa/tunis,37.27442,9.87391,1.0,1,50.0
672,blackburn-enga8-gb,europe/london,53.75,-2.48333,0.0,377,83.59
673,blackburn-enga8-gb,europe/london,53.75,-2.48333,1.0,74,16.41
674,blackpool-enga9-gb,europe/london,53.81667,-3.05,0.0,628,83.96
675,blackpool-enga9-gb,europe/london,53.81667,-3.05,1.0,120,16.04
676,blagoveshchensk-05-ru,asia/yakutsk,50.27817,127.54074,0.0,1,100.0
677,blantyre-s24-mw,africa/blantyre,-15.78499,35.00854,0.0,17,85.0
